Keyword,Avg. Search Volume,CPC,PPC Competition,SEO Difficulty,Search Volume 02/2018,Search Volume 03/2018,Search Volume 04/2018,Search Volume 05/2018,Search Volume 06/2018,Search Volume 07/2018,Search Volume 08/2018,Search Volume 09/2018,Search Volume 10/2018,Search Volume 11/2018,Search Volume 12/2018,Search Volume 01/2019
power bi tutorial,9867,2.33,22,41,8044,9867,9867,9867,9867,12044,12044,9867,12044,9867,8044,
power bi dashboard,5832,5.03,28,40,3888,4752,4752,5832,5832,5832,5832,5832,7128,7128,5832,
power bi desktop,49500,1.2,11,46,49500,49500,49500,60500,49500,49500,49500,49500,74000,60500,49500,
power bi,301667,2.59,21,65,246696,246696,246696,301667,301667,301667,301667,301667,368704,368704,301667,
power bi excel,5400,2.13,22,41,5400,5400,5400,6600,5400,5400,5400,5400,6600,6600,5400,
power bi dashboard examples,2400,6.88,41,46,1900,1900,1900,2400,2400,2400,2400,2400,2400,2900,1900,
data warehouse,73536,11.26,22,43,60500,73536,73536,73536,60500,60500,60500,73536,73536,73536,60500,
business analytics,33177,7.1,54,43,33177,33177,33177,33177,33177,33177,33177,33177,40550,33177,33177,
dashboard report,2359,10.69,38,44,2359,2359,2929,2359,2359,2929,2359,2359,2929,2359,1953,
excel tutorial,40500,2.03,15,53,40500,49500,40500,40500,40500,49500,40500,40500,40500,40500,33100,
curso de excel,33122,0.72,60,15,33122,33122,33122,33122,27100,33122,33122,33122,33122,27100,22148,
excel formulas,201273,0.28,5,38,201273,201273,201273,201273,201273,201273,201273,201273,246273,201273,164455,
excel avanzado,8094,0.31,21,19,9893,9893,9893,9893,8094,9893,9893,9893,9893,8094,5396,
business intelligence,135000,7.89,45,49,135000,135000,135000,135000,135000,135000,135000,135000,165000,135000,110000,
sas,1830000,0.38,12,42,1830000,2240000,1830000,1830000,1830000,1830000,1830000,1830000,2240000,1830000,1500000,
analytics,1000000,4.66,6,98,1000000,1220000,1000000,1220000,1000000,1000000,823000,1000000,1000000,1000000,823000,
big data,449502,3.83,21,64,449502,550027,449502,449502,367774,367774,449502,449502,449502,449502,367774,
data mining,134444,4.37,13,44,134444,163778,163778,134444,134444,110000,110000,134444,163778,163778,134444,
data analytics,134852,6.94,43,50,134852,134852,134852,134852,134852,164274,164274,164274,164274,164274,134852,
data science,110823,3.63,44,48,90573,110823,90573,110823,90573,110823,110823,110823,110823,110823,90573,
universidad javeriana,49500,0.74,2,,60500,49500,60500,60500,40500,49500,49500,49500,60500,49500,27100,
ciencia de datos,2400,0.95,9,35,1900,1900,3600,2400,2400,2400,2400,2900,2900,2900,2400,
